item_id,item_short_description,icu_1,icu_2,icu_3,icu_4,icu_5,icu_6,icu_7,icu_8,icu_9,icu_10,icu_11,icu_12,icu_13,icu_14,icu_15,icu_16,icu_17,icu_18,icu_19,icu_20
71,cauti_secure_fixation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0
72,cauti_hand_hygiene_pre_manipulation,0.6,0.8,0.9,0.95,1.0,1.0,1.0,0.8,1.0,1.0,0.95,0.95,1.0,1.0,1.0,0.5,1.0,0.8,0.8,0.7
73,cauti_bag_below_bladder,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,cauti_bag_off_floor,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
75,cauti_closed_drainage_during_transfer,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.95,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
76,cauti_sampling_via_port,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0
77,cauti_empty_bag_before_full,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,cauti_dedicated_urine_containers,0.5,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
79,cauti_replace_if_integrity_compromised,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
80,cauti_prevent_tubing_kinking,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.7,0.8,0.9,1.0,1.0,0.8,0.9
81,cauti_daily_necessity_assessment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
82,cauti_use_removal_reminders,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,cauti_predefined_stop_orders,0.5,0.8,0.75,0.9,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.55,0.8,1.0,0.7,1.0,0.8,0.2,0.8
84,cauti_avoid_routine_meatal_ointment,1.0,0.5,0.8,1.0,0.0,0.0,0.0,1.0,0.85,0.0,1.0,1.0,0.65,1.0,0.8,0.8,0.0,0.8,0.4,0.7
85,cauti_avoid_routine_replacement,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8
86,cauti_avoid_routine_saline_irrigation,0.9,0.9,0.7,0.95,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.7
87,cauti_avoid_abx_in_urine_bag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,cauti_avoid_prophylactic_abx_post,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,cauti_avoid_treating_asb,1.0,0.7,0.9,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.9,1.0,0.8,0.8,0.7
90,cauti_avoid_abx_for_smelly_urine,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.6,0.9,1.0,1.0,0.8,1.0,0.7
91,cauti_surveillance_of_catheter_days,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0
92,cauti_trained_supervisor_champion,1.0,0.7,1.0,0.9,0.8,0.8,0.6,1.0,0.85,1.0,1.0,1.0,0.6,0.8,0.8,0.4,0.5,0.6,0.8,0.8
93,cauti_rate_feedback_to_staff,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.65,1.0,0.5,1.0,1.0,1.0,1.0
94,vap_prioritize_niv,1.0,0.7,0.9,0.95,0.8,0.8,0.8,1.0,0.7,0.8,0.8,0.85,0.8,0.6,0.6,0.9,1.0,1.0,0.8,0.8
95,vap_avoid_benzodiazepines,0.6,0.8,0.7,0.95,0.8,0.8,0.8,1.0,0.65,0.8,0.8,0.85,0.8,0.6,0.6,0.9,0.65,0.65,0.95,0.8
96,vap_minimize_sedation_protocol,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.0
97,vap_sbt_weaning_protocol,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
98,vap_early_mobilization,1.0,0.7,0.8,0.95,1.0,1.0,1.0,0.8,0.9,0.8,1.0,1.0,0.8,1.0,0.8,0.8,1.0,0.75,0.7,0.6
99,vap_head_of_bed_elevation_30_45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,vap_oral_care_toothbrushing,0.9,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0
101,vap_prefer_enteral_nutrition,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.95,0.8,1.0,0.7,1.0,1.0,0.75,0.4,0.9
102,vap_change_circuit_when_soiled,1.0,0.9,0.4,1.0,0.6,0.9,0.9,1.0,1.0,0.8,1.0,1.0,0.9,1.0,0.8,1.0,1.0,1.0,0.9,0.9
103,vap_use_ssd_ett_over_48h,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.9,0.0,0.5,0.5,0.0
104,vap_consider_early_tracheostomy,0.9,0.75,0.9,0.95,0.6,0.7,0.8,0.8,0.95,0.6,0.8,0.9,0.4,1.0,0.6,0.9,1.0,0.65,0.7,0.7
105,vap_use_post_pyloric_feeding,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.55,0.0,0.0,0.0
106,vap_avoid_routine_chg_oral_care,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0
107,vap_avoid_routine_probiotics,0.1,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0
108,vap_avoid_ultrathin_cuffs,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0
109,vap_avoid_tapered_cuffs,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,1.0
110,vap_avoid_auto_cuff_pressure_control,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
111,vap_intermittent_cuff_pressure_monitoring,0.4,0.75,0.5,0.6,1.0,1.0,0.9,0.8,0.95,0.1,1.0,1.0,0.7,0.9,0.2,0.8,0.45,0.75,0.65,0.9
112,vap_avoid_silver_coated_ett,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,vap_avoid_kinetic_beds,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
114,vap_avoid_prone_positioning_routine,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,vap_avoid_grv_monitoring,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0
116,vap_avoid_early_parenteral_nutrition,0.5,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0
